#Release 11.4 - par L.68 (lin64)
#Copyright (c) 1995-2009 Xilinx, Inc.  All rights reserved.

#Tue Dec 13 16:35:39 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc6vsx475t
#SPEED GRADE:      -1
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AD34,,,VCCO_15,,,15,,,,,any******,,,,
AD35,,IOBS,IO_L14N_VREF_15,UNUSED,,15,,,,,,,,,
AD36,,IOBM,IO_L14P_15,UNUSED,,15,,,,,,,,,
AD37,,IOBS,IO_L10N_MRCC_15,UNUSED,,15,,,,,,,,,
AD38,,IOBS,IO_L6N_SM11N_15,UNUSED,,15,,,,,,,,,
AD39,,,GND,,,,,,,,,,,,
AD40,,IOBS,IO_L13N_SM14N_15,UNUSED,,15,,,,,,,,,
AD41,,IOBS,IO_L11N_SRCC_15,UNUSED,,15,,,,,,,,,
AD42,,IOBM,IO_L15P_SM15P_15,UNUSED,,15,,,,,,,,,
AE1,,OPAD,MGTTXP0_114,UNUSED,,,,,,,,,,,
AE2,,OPAD,MGTTXN0_114,UNUSED,,,,,,,,,,,
AE3,,,GND,,,,,,,,,,,,
AE4,,,MGTAVTT_S,,,,,,,,,,,,
AE5,,IPAD,MGTRXP2_113,UNUSED,,,,,,,,,,,
AE6,,IPAD,MGTRXN2_113,UNUSED,,,,,,,,,,,
AE7,,,GND,,,,,,,,,,,,
AE8,,,MGTAVCC_S,,,,,,,,,,,,
AE9,,,GND,,,,,,,,,,,,
AE10,,,VCCAUX,,,,,,,,2.5,,,,
AE11,,,GND,,,,,,,,,,,,
AE12,,,VCCINT,,,,,,,,1.2,,,,
AE13,,,GND,,,,,,,,,,,,
AE14,,,VCCINT,,,,,,,,1.2,,,,
AE15,,,GND,,,,,,,,,,,,
AE16,,,VCCINT,,,,,,,,1.2,,,,
AE17,,,GND,,,,,,,,,,,,
AE18,,,VCCINT,,,,,,,,1.2,,,,
AE19,,,GND,,,,,,,,,,,,
AE20,,,VCCINT,,,,,,,,1.2,,,,
AE21,,,GND,,,,,,,,,,,,
AE22,,,VCCINT,,,,,,,,1.2,,,,
AE23,,,GND,,,,,,,,,,,,
AE24,,,VCCINT,,,,,,,,1.2,,,,
AE25,,,GND,,,,,,,,,,,,
AE26,,,VCCINT,,,,,,,,1.2,,,,
AE27,,,GND,,,,,,,,,,,,
AE28,,,VCCAUX,,,,,,,,2.5,,,,
AE29,,,GND,,,,,,,,,,,,
AE30,,IOBM,IO_L0P_GC_24,UNUSED,,24,,,,,,,,,
AE31,,,VCCO_24,,,24,,,,,2.50,,,,
AE32,,IOBS,IO_L9N_MRCC_15,UNUSED,,15,,,,,,,,,
AE33,,IOBM,IO_L2P_SM8P_15,UNUSED,,15,,,,,,,,,
AE34,,IOBM,IO_L0P_15,UNUSED,,15,,,,,,,,,
AE35,,IOBS,IO_L0N_15,UNUSED,,15,,,,,,,,,
AE36,,,GND,,,,,,,,,,,,
AE37,,IOBM,IO_L10P_MRCC_15,UNUSED,,15,,,,,,,,,
AE38,,IOBM,IO_L6P_SM11P_15,UNUSED,,15,,,,,,,,,
AE39,,IOBS,IO_L19N_15,UNUSED,,15,,,,,,,,,
AE40,,IOBM,IO_L19P_15,UNUSED,,15,,,,,,,,,
AE41,,,VCCO_15,,,15,,,,,any******,,,,
AE42,,IOBS,IO_L15N_SM15N_15,UNUSED,,15,,,,,,,,,
AF1,,,GND,,,,,,,,,,,,
AF2,,,GND,,,,,,,,,,,,
AF3,,IPAD,MGTRXP1_113,UNUSED,,,,,,,,,,,
AF4,,IPAD,MGTRXN1_113,UNUSED,,,,,,,,,,,
AF5,,,GND,,,,,,,,,,,,
AF6,,,GND,,,,,,,,,,,,
AF7,,IPAD,MGTREFCLK0N_113,UNUSED,,,,,,,,,,,
AF8,,IPAD,MGTREFCLK0P_113,UNUSED,,,,,,,,,,,
AF9,,,GND,,,,,,,,,,,,
AF10,,,GND,,,,,,,,,,,,
AF11,,,GND,,,,,,,,,,,,
AF12,,,GND,,,,,,,,,,,,
AF13,,,VCCINT,,,,,,,,1.2,,,,
AF14,,,GND,,,,,,,,,,,,
AF15,,,VCCINT,,,,,,,,1.2,,,,
AF16,,,GND,,,,,,,,,,,,
AF17,,,VCCINT,,,,,,,,1.2,,,,
AF18,,,GND,,,,,,,,,,,,
AF19,,,VCCINT,,,,,,,,1.2,,,,
AF20,,,GND,,,,,,,,,,,,
AF21,,,VCCINT,,,,,,,,1.2,,,,
AF22,,,GND,,,,,,,,,,,,
AF23,,,VCCINT,,,,,,,,1.2,,,,
AF24,,,GND,,,,,,,,,,,,
AF25,,,VCCINT,,,,,,,,1.2,,,,
AF26,,,GND,,,,,,,,,,,,
AF27,,,VCCAUX,,,,,,,,2.5,,,,
AF28,,,GND,,,,,,,,,,,,
AF29,,,VCCAUX,,,,,,,,2.5,,,,
AF30,,IOBS,IO_L0N_GC_24,UNUSED,,24,,,,,,,,,
AF31,epb_data<22>,IOB,IO_L2N_D14_24,BIDIR,LVCMOS25*,24,12,SLOW,,NONE,,LOCATED,YES,NONE,
AF32,,IOBM,IO_L18P_14,UNUSED,,14,,,,,,,,,
AF33,,,GND,,,,,,,,,,,,
AF34,,IOBS,IO_L0N_14,UNUSED,,14,,,,,,,,,
AF35,epb_doe_n,IOB,IO_L16P_14,OUTPUT,LVCMOS15,14,12,SLOW,,,,LOCATED,NO,NONE,
AF36,,IOBS,IO_L16N_14,UNUSED,,14,,,,,,,,,
AF37,,IOBM,IO_L6P_14,UNUSED,,14,,,,,,,,,
AF38,,,VCCO_14,,,14,,,,,1.50,,,,
AF39,,IOBM,IO_L2P_14,UNUSED,,14,,,,,,,,,
AF40,,IOBM,IO_L1P_14,UNUSED,,14,,,,,,,,,
AF41,,IOBS,IO_L17N_15,UNUSED,,15,,,,,,,,,
AF42,,IOBM,IO_L17P_15,UNUSED,,15,,,,,,,,,
AG1,,OPAD,MGTTXP3_113,UNUSED,,,,,,,,,,,
AG2,,OPAD,MGTTXN3_113,UNUSED,,,,,,,,,,,
AG3,,,GND,,,,,,,,,,,,
AG4,,,GND,,,,,,,,,,,,
AG5,,IPAD,MGTRXP0_113,UNUSED,,,,,,,,,,,
AG6,,IPAD,MGTRXN0_113,UNUSED,,,,,,,,,,,
AG7,,,GND,,,,,,,,,,,,
AG8,,,GND,,,,,,,,,,,,
AG9,,,GND,,,,,,,,,,,,
AG10,,,GND,,,,,,,,,,,,
AG11,,,GND,,,,,,,,,,,,
AG12,,,VCCINT,,,,,,,,1.2,,,,
AG13,,,GND,,,,,,,,,,,,
AG14,,,VCCINT,,,,,,,,1.2,,,,
AG15,,,GND,,,,,,,,,,,,
AG16,,,VCCINT,,,,,,,,1.2,,,,
AG17,,,GND,,,,,,,,,,,,
AG18,,,VCCINT,,,,,,,,1.2,,,,
AG19,,,GND,,,,,,,,,,,,
AG20,,,VCCINT,,,,,,,,1.2,,,,
AG21,,,GND,,,,,,,,,,,,
AG22,,,VCCINT,,,,,,,,1.2,,,,
AG23,,,GND,,,,,,,,,,,,
AG24,,,VCCINT,,,,,,,,1.2,,,,
AG25,,,VCCO_23,,,23,,,,,any******,,,,
AG26,,,VCCINT,,,,,,,,1.2,,,,
AG27,,IOBS,IO_L14N_VREF_23,UNUSED,,23,,,,,,,,,
AG28,,IOBM,IO_L14P_23,UNUSED,,23,,,,,,,,,
AG29,epb_addr<21>,IOB,IO_L18N_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AG30,,,GND,,,,,,,,,,,,
AG31,epb_data<18>,IOB,IO_L4N_VREF_D10_24,BIDIR,LVCMOS25*,24,12,SLOW,,NONE,,LOCATED,YES,NONE,
AG32,epb_data<23>,IOB,IO_L2P_D15_24,BIDIR,LVCMOS25*,24,12,SLOW,,NONE,,LOCATED,YES,NONE,
AG33,,IOBS,IO_L18N_14,UNUSED,,14,,,,,,,,,
AG34,,IOBM,IO_L0P_14,UNUSED,,14,,,,,,,,,
AG35,,,VCCO_14,,,14,,,,,1.50,,,,
AG36,,IOBM,IO_L14P_14,UNUSED,,14,,,,,,,,,
AG37,,IOBS,IO_L6N_14,UNUSED,,14,,,,,,,,,
AG38,,IOBM,IO_L4P_14,UNUSED,,14,,,,,,,,,
AG39,,IOBS,IO_L2N_14,UNUSED,,14,,,,,,,,,
AG40,,,GND,,,,,,,,,,,,
AG41,,IOBS,IO_L1N_14,UNUSED,,14,,,,,,,,,
AG42,,IOBM,IO_L3P_14,UNUSED,,14,,,,,,,,,
AH1,,,GND,,,,,,,,,,,,
AH2,,,GND,,,,,,,,,,,,
AH3,,OPAD,MGTTXP2_113,UNUSED,,,,,,,,,,,
AH4,,OPAD,MGTTXN2_113,UNUSED,,,,,,,,,,,
AH5,,,GND,,,,,,,,,,,,
AH6,,,GND,,,,,,,,,,,,
AH7,,IPAD,MGTREFCLK1N_112,UNUSED,,,,,,,,,,,
AH8,,IPAD,MGTREFCLK1P_112,UNUSED,,,,,,,,,,,
AH9,,,GND,,,,,,,,,,,,
AH10,,,VFS_0,,,,,,,,,,,,
AH11,,,GND,,,,,,,,,,,,
AH12,,,GND,,,,,,,,,,,,
AH13,,,VCCINT,,,,,,,,1.2,,,,
AH14,,,GND,,,,,,,,,,,,
AH15,,,VCCINT,,,,,,,,1.2,,,,
AH16,,,GND,,,,,,,,,,,,
AH17,,,GND,,,,,,,,,,,,
AH18,,,GND,,,,,,,,,,,,
AH19,,,VCCINT,,,,,,,,1.2,,,,
AH20,,,GND,,,,,,,,,,,,
AH21,,,VCCINT,,,,,,,,1.2,,,,
AH22,,,VCCO_21,,,21,,,,,any******,,,,
AH23,,,VCCINT,,,,,,,,1.2,,,,
AH24,,IOBM,IO_L10P_MRCC_23,UNUSED,,23,,,,,,,,,
AH25,,IOBS,IO_L10N_MRCC_23,UNUSED,,23,,,,,,,,,
AH26,,IOBS,IO_L18N_23,UNUSED,,23,,,,,,,,,
AH27,,,GND,,,,,,,,,,,,
AH28,,IOBM,IO_L12P_VRN_23,UNUSED,,23,,,,,,,,,
AH29,epb_addr<20>,IOB,IO_L18P_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AH30,epb_addr<19>,IOB,IO_L14P_FCS_B_24,INPUT,LVCMOS25*,24,,,,NONE,,LOCATED,YES,NONE,
AH31,epb_data<19>,IOB,IO_L4P_D11_24,BIDIR,LVCMOS25*,24,12,SLOW,,NONE,,LOCATED,YES,NONE,
AH32,,,VCCO_24,,,24,,,,,2.50,,,,
AH33,epb_data<30>,IOB,IO_L6N_D6_24,BIDIR,LVCMOS25*,24,12,SLOW,,NONE,,LOCATED,YES,NONE,
AH34,,IOBM,IO_L9P_MRCC_14,UNUSED,,14,,,,,,,,,
AH35,,IOBS,IO_L12N_VRP_14,UNUSED,,14,,,,,,,,,
AH36,,IOBS,IO_L14N_VREF_14,UNUSED,,14,,,,,,,,,
AH37,,,GND,,,,,,,,,,,,
AH38,,IOBS,IO_L4N_VREF_14,UNUSED,,14,,,,,,,,,
AH39,,IOBM,IO_L11P_SRCC_14,UNUSED,,14,,,,,,,,,
AH40,,IOBM,IO_L5P_14,UNUSED,,14,,,,,,,,,
